file,word,ink,condition,pred_word,pred_ink,word_correct,ink_correct
black_as_black_bg-white,black,black,congruent,black,black,1,1
blue_as_blue_bg-white,blue,blue,congruent,blue,blue,1,1
brown_as_brown_bg-white,brown,brown,congruent,brown,brown,1,1
gray_as_gray_bg-white,gray,gray,congruent,gray,gray,1,1
green_as_green_bg-white,green,green,congruent,green,green,1,1
orange_as_orange_bg-white,orange,orange,congruent,orange,orange,1,1
pink_as_pink_bg-white,pink,pink,congruent,pink,pink,1,1
purple_as_purple_bg-white,purple,purple,congruent,purple,purple,1,1
red_as_red_bg-white,red,red,congruent,red,red,1,1
yellow_as_yellow_bg-white,yellow,yellow,congruent,yellow,yellow,1,1
black_as_blue_bg-beige_t06_s08_b08,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t06_s08_b10,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t06_s08_b12,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t06_s10_b08,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t06_s10_b10,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t06_s10_b12,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t06_s12_b08,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t06_s12_b10,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t06_s12_b12,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t08_s08_b08,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t08_s08_b10,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t08_s08_b12,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t08_s10_b08,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t08_s10_b10,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t08_s10_b12,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t08_s12_b08,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t08_s12_b10,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t08_s12_b12,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t10_s08_b08,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t10_s08_b10,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t10_s08_b12,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t10_s10_b08,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t10_s10_b10,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t10_s10_b12,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t10_s12_b08,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t10_s12_b10,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t10_s12_b12,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t12_s08_b08,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t12_s08_b10,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t12_s08_b12,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t12_s10_b08,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t12_s10_b10,black,blue,incongruent,black,black,1,0
black_as_blue_bg-beige_t12_s10_b12,black,blue,incongruent,black,black,1,0
