filename,word,ink_rgb,background_rgb,tone_factor,saturation,brightness
RED_as_red_bg-white_T06_S08_B08.png,red,"(153, 0, 0)","(255, 255, 255)",0.6,0.8,0.8
RED_as_red_bg-white_T06_S08_B10.png,red,"(153, 0, 0)","(255, 255, 255)",0.6,0.8,1.0
RED_as_red_bg-white_T06_S08_B12.png,red,"(153, 0, 0)","(255, 255, 255)",0.6,0.8,1.2
RED_as_red_bg-white_T06_S10_B08.png,red,"(153, 0, 0)","(255, 255, 255)",0.6,1.0,0.8
RED_as_red_bg-white_T06_S10_B10.png,red,"(153, 0, 0)","(255, 255, 255)",0.6,1.0,1.0
RED_as_red_bg-white_T06_S10_B12.png,red,"(153, 0, 0)","(255, 255, 255)",0.6,1.0,1.2
RED_as_red_bg-white_T06_S12_B08.png,red,"(153, 0, 0)","(255, 255, 255)",0.6,1.2,0.8
RED_as_red_bg-white_T06_S12_B10.png,red,"(153, 0, 0)","(255, 255, 255)",0.6,1.2,1.0
RED_as_red_bg-white_T06_S12_B12.png,red,"(153, 0, 0)","(255, 255, 255)",0.6,1.2,1.2
RED_as_red_bg-softgray_T06_S08_B08.png,red,"(153, 0, 0)","(235, 235, 235)",0.6,0.8,0.8
RED_as_red_bg-softgray_T06_S08_B10.png,red,"(153, 0, 0)","(235, 235, 235)",0.6,0.8,1.0
RED_as_red_bg-softgray_T06_S08_B12.png,red,"(153, 0, 0)","(235, 235, 235)",0.6,0.8,1.2
RED_as_red_bg-softgray_T06_S10_B08.png,red,"(153, 0, 0)","(235, 235, 235)",0.6,1.0,0.8
RED_as_red_bg-softgray_T06_S10_B10.png,red,"(153, 0, 0)","(235, 235, 235)",0.6,1.0,1.0
RED_as_red_bg-softgray_T06_S10_B12.png,red,"(153, 0, 0)","(235, 235, 235)",0.6,1.0,1.2
RED_as_red_bg-softgray_T06_S12_B08.png,red,"(153, 0, 0)","(235, 235, 235)",0.6,1.2,0.8
RED_as_red_bg-softgray_T06_S12_B10.png,red,"(153, 0, 0)","(235, 235, 235)",0.6,1.2,1.0
RED_as_red_bg-softgray_T06_S12_B12.png,red,"(153, 0, 0)","(235, 235, 235)",0.6,1.2,1.2
RED_as_red_bg-beige_T06_S08_B08.png,red,"(153, 0, 0)","(245, 240, 225)",0.6,0.8,0.8
RED_as_red_bg-beige_T06_S08_B10.png,red,"(153, 0, 0)","(245, 240, 225)",0.6,0.8,1.0
RED_as_red_bg-beige_T06_S08_B12.png,red,"(153, 0, 0)","(245, 240, 225)",0.6,0.8,1.2
RED_as_red_bg-beige_T06_S10_B08.png,red,"(153, 0, 0)","(245, 240, 225)",0.6,1.0,0.8
RED_as_red_bg-beige_T06_S10_B10.png,red,"(153, 0, 0)","(245, 240, 225)",0.6,1.0,1.0
RED_as_red_bg-beige_T06_S10_B12.png,red,"(153, 0, 0)","(245, 240, 225)",0.6,1.0,1.2
RED_as_red_bg-beige_T06_S12_B08.png,red,"(153, 0, 0)","(245, 240, 225)",0.6,1.2,0.8
RED_as_red_bg-beige_T06_S12_B10.png,red,"(153, 0, 0)","(245, 240, 225)",0.6,1.2,1.0
RED_as_red_bg-beige_T06_S12_B12.png,red,"(153, 0, 0)","(245, 240, 225)",0.6,1.2,1.2
RED_as_red_bg-softpink_T06_S08_B08.png,red,"(153, 0, 0)","(250, 230, 235)",0.6,0.8,0.8
